Thang điểm (1-10),Số lượng,Môn
2.5-3.0,2,ML & DM
3.0-3.5,2,ML & DM
3.5-4.0,8,ML & DM
4.0-4.5,14,ML & DM
4.5-5.0,22,ML & DM
5.0-5.5,19,ML & DM
5.5-6.0,23,ML & DM
6.0-6.5,25,ML & DM
6.5-7.0,15,ML & DM
7.0-7.5,10,ML & DM
7.5-8.0,9,ML & DM
8.0-8.5,6,ML & DM
8.5-9.0,3,ML & DM
4.0-4.5,1,Data Science
4.5-5.0,7,Data Science
5.0-5.5,14,Data Science
5.5-6.0,19,Data Science
6.0-6.5,20,Data Science
6.5-7.0,21,Data Science
7.0-7.5,22,Data Science
7.5-8.0,22,Data Science
8.0-8.5,25,Data Science
8.5-9.0,14,Data Science
9.0-9.5,5,Data Science
9.5-10.0,4,Data Science
